LocNumber,Loc,Date,Temp,Prec
108,서울,2017-01-22 17,-6.4,
108,서울,2017-01-22 18,-7.5,
108,서울,2017-01-22 19,-8.3,
108,서울,2017-01-22 20,-8.7,
108,서울,2017-01-22 21,-9.5,
108,서울,2017-01-22 22,-10.0,
108,서울,2017-01-22 23,-10.4,
108,서울,2017-01-23 00,-10.9,
108,서울,2017-01-23 01,-11.1,
108,서울,2017-01-23 02,-10.9,
108,서울,2017-01-23 03,-11.0,
108,서울,2017-01-23 04,-11.3,
108,서울,2017-01-23 05,-12.2,
108,서울,2017-01-23 06,-12.6,
108,서울,2017-01-23 07,-12.4,
108,서울,2017-01-23 08,-12.3,
108,서울,2017-01-23 09,-11.8,
108,서울,2017-01-23 10,-10.2,
108,서울,2017-01-23 11,-8.6,
108,서울,2017-01-23 12,-7.4,
108,서울,2017-01-23 13,-6.5,
108,서울,2017-01-23 14,-5.7,
108,서울,2017-01-23 15,-4.8,
108,서울,2017-01-23 16,-4.3,
108,서울,2017-01-23 17,-4.7,
108,서울,2017-01-23 18,-6.1,
108,서울,2017-01-23 19,-6.8,
108,서울,2017-01-23 20,-7.2,
108,서울,2017-01-23 21,-7.8,
108,서울,2017-01-23 22,-8.2,
108,서울,2017-01-23 23,-8.8,
108,서울,2017-01-24 00,-9.5,
108,서울,2017-01-24 01,-10.0,
108,서울,2017-01-24 02,-10.2,
108,서울,2017-01-24 03,-10.4,
108,서울,2017-01-24 04,-11.3,
108,서울,2017-01-24 05,-11.2,
108,서울,2017-01-24 06,-11.3,
108,서울,2017-01-24 07,-11.1,
108,서울,2017-01-24 08,-11.2,
108,서울,2017-01-24 09,-9.8,
108,서울,2017-01-24 10,-7.7,
108,서울,2017-01-24 11,-6.0,
108,서울,2017-01-24 12,-5.2,
108,서울,2017-01-24 13,-4.1,
108,서울,2017-01-24 14,-2.5,
108,서울,2017-01-24 15,-2.1,
108,서울,2017-01-24 16,-1.7,
108,서울,2017-01-24 17,-2.0,
108,서울,2017-01-24 18,-3.9,
108,서울,2017-01-24 19,-4.8,
108,서울,2017-01-24 20,-5.5,
108,서울,2017-01-24 21,-5.8,
108,서울,2017-01-24 22,-6.4,
108,서울,2017-01-24 23,-7.3,
108,서울,2017-01-25 00,-7.5,
108,서울,2017-01-25 01,-8.2,
108,서울,2017-01-25 02,-8.5,
